id,user_id,staff_id,order_date
10250,34,4,2015-07-08
10252,76,4,2015-07-09
10253,34,3,2015-07-10
10254,14,5,2015-07-11
10255,68,3,2015-07-12
10257,35,4,2015-07-16
10258,20,1,2015-07-17
10259,13,4,2015-07-18
10260,55,4,2015-07-19
10261,61,4,2015-07-19
10262,65,3,2015-07-22
10263,20,3,2015-07-23
10264,24,6,2015-07-24
10265,7,2,2015-07-25
10267,25,4,2015-07-29
10268,33,3,2015-07-30
10271,75,6,2015-08-01
10272,65,6,2015-08-02
10273,63,3,2015-08-05
10275,49,1,2015-08-07
10277,52,2,2015-08-09
10278,5,3,2015-08-12
10279,44,3,2015-08-13
10280,5,2,2015-08-14
10281,69,4,2015-08-14
10282,69,4,2015-08-15
10283,46,3,2015-08-16
10284,44,4,2015-08-19
10285,63,1,2015-08-20
10286,63,3,2015-08-21
10287,67,3,2015-08-22
10288,66,4,2015-08-23
10289,11,3,2015-08-26
10290,15,3,2015-08-27
10291,61,6,2015-08-27
10294,65,4,2015-08-30
10296,46,6,2015-09-03
10297,7,5,2015-09-04
10298,37,6,2015-09-05
10299,67,4,2015-09-06
10300,49,2,2015-09-09
10302,76,4,2015-09-10
10303,30,3,2015-09-11
10305,55,3,2015-09-13
10306,69,1,2015-09-16
10307,48,2,2015-09-17
10308,2,3,2015-09-18
10309,37,3,2015-09-19
10310,77,3,2015-09-20
10311,18,1,2015-09-20
10313,63,2,2015-09-24
10314,65,1,2015-09-25
10315,38,4,2015-09-26
10316,65,1,2015-09-27
10317,48,6,2015-09-30
10318,38,3,2015-10-01
10321,38,3,2015-10-03
10322,58,3,2015-10-04
10323,39,4,2015-10-07
10324,71,3,2015-10-08
10325,39,1,2015-10-09
10326,8,4,2015-10-10
10327,24,2,2015-10-11
10328,28,4,2015-10-14
10329,75,4,2015-10-15
10330,46,3,2015-10-16
10331,9,3,2015-10-16
10332,51,3,2015-10-17
10335,37,3,2015-10-22
10336,60,3,2015-10-23
10337,25,4,2015-10-24
10338,55,4,2015-10-25
10339,51,2,2015-10-28
10340,9,1,2015-10-29
10341,73,3,2015-10-29
10342,25,4,2015-10-30
10343,44,4,2015-10-31
10345,63,2,2015-11-04
10346,65,3,2015-11-05
10347,21,4,2015-11-06
10349,75,3,2015-11-08
10350,41,6,2015-11-11
10351,20,1,2015-11-11
10352,28,3,2015-11-12
10353,59,3,2015-11-13
10354,58,3,2015-11-14
10355,4,6,2015-11-15
10357,46,1,2015-11-19
10358,41,5,2015-11-20
10359,72,5,2015-11-21
10360,7,4,2015-11-22
10361,63,1,2015-11-22
10362,9,3,2015-11-25
10363,17,4,2015-11-26
10364,19,1,2015-11-26
10365,3,3,2015-11-27
10366,29,3,2015-11-28
10368,20,2,2015-11-29
10369,75,3,2015-12-02
10370,14,6,2015-12-03
10371,41,1,2015-12-03
10372,62,5,2015-12-04
10373,37,4,2015-12-05
10375,36,3,2015-12-06
10376,51,1,2015-12-09
10377,72,1,2015-12-09
10378,24,5,2015-12-10
10379,61,2,2015-12-11
10380,37,3,2015-12-12
10381,46,3,2015-12-12
10382,20,4,2015-12-13
10383,4,3,2015-12-16
10384,5,3,2015-12-16
10385,75,1,2015-12-17
10386,21,3,2015-12-18
10387,70,1,2015-12-18
10388,72,2,2015-12-19
10389,10,4,2015-12-20
10390,20,6,2015-12-23
10391,17,3,2015-12-23
10392,59,2,2015-12-24
10393,71,1,2015-12-25
10394,36,1,2015-12-25
10395,35,6,2015-12-26
10396,25,1,2015-12-27
10397,60,5,2015-12-27
10398,71,2,2015-12-30
10400,19,1,2016-01-01
10401,65,1,2016-01-01
10402,20,3,2016-01-02
10403,20,4,2016-01-03
10404,49,2,2016-01-03
10405,47,1,2016-01-06
10406,62,3,2016-01-07
10407,56,2,2016-01-07
10408,23,3,2016-01-08
10409,54,3,2016-01-09
10410,10,3,2016-01-10
10411,10,3,2016-01-10
10413,41,3,2016-01-14
10414,21,2,2016-01-14
10415,36,3,2016-01-15
10417,73,4,2016-01-16
10418,63,4,2016-01-17
10419,68,4,2016-01-20
10421,61,3,2016-01-21
10422,27,2,2016-01-22
10423,31,6,2016-01-23
10424,51,3,2016-01-23
10425,41,6,2016-01-24
10426,29,4,2016-01-27
10427,59,4,2016-01-27
10428,66,3,2016-01-28
10429,37,3,2016-01-29
10430,20,4,2016-01-30
10431,10,4,2016-01-30
10432,75,3,2016-01-31
10433,60,3,2016-02-03
10434,24,3,2016-02-03
10435,16,3,2016-02-04
10436,7,3,2016-02-05
10439,51,6,2016-02-07
10440,71,4,2016-02-10
10441,55,3,2016-02-10
10442,20,3,2016-02-11
10443,66,3,2016-02-12